# Hedgemaze
1166,2237,60,Felucca,1163,2205,0,Felucca,True
1165,2204,40,Felucca,1163,2211,60,Felucca,True
1163,2208,0,Felucca,1165,2214,19,Felucca,True
1163,2204,60,Felucca,1171,2202,0,Felucca,True
#
# Fire
5691,1348,0,Felucca,5690,1352,-26,Felucca,True
5690,1352,-26,Felucca,5691,1348,0,Felucca,True
#
# Orc Cave
1013,1433,0,Felucca,5138,2016,0,Felucca,True
1013,1434,0,Felucca,5138,2016,0,Felucca,True
5139,2015,0,Felucca,1014,1434,0,Felucca,True
5139,2016,0,Felucca,1014,1434,0,Felucca,True
5139,2017,0,Felucca,1014,1434,0,Felucca,True
5132,1946,0,Felucca,5332,1379,0,Felucca,True
5133,1946,0,Felucca,5332,1379,0,Felucca,True
5134,1946,0,Felucca,5332,1379,0,Felucca,True
5135,1946,0,Felucca,5332,1379,0,Felucca,True
5329,1381,10,Felucca,5134,1947,0,Felucca,True
5330,1381,10,Felucca,5134,1947,0,Felucca,True
5331,1381,10,Felucca,5134,1947,0,Felucca,True
5332,1381,10,Felucca,5134,1947,0,Felucca,True
5333,1381,10,Felucca,5134,1947,0,Felucca,True
5334,1381,10,Felucca,5134,1947,0,Felucca,True
5363,1289,4,Felucca,5272,2041,4,Felucca,True
5364,1289,4,Felucca,5272,2041,4,Felucca,True
5272,2043,4,Felucca,5363,1290,4,Felucca,True
5273,2043,4,Felucca,5363,1290,4,Felucca,True
#
# Shame
512,1559,0,Felucca,5394,127,0,Felucca,True
513,1559,0,Felucca,5395,127,0,Felucca,True
514,1559,0,Felucca,5396,127,0,Felucca,True
5490,19,-25,Felucca,5514,10,5,Felucca,True
5875,19,-5,Felucca,5507,162,5,Felucca,True
5604,102,5,Felucca,5514,147,25,Felucca,True
#
5513,176,5,Felucca,5540,187,0,Felucca,False
5538,170,5,Felucca,5517,176,0,Felucca,False
#				
# Hythloth				
4721,3813,0,Felucca,5904,16,64,Felucca,True
4722,3813,0,Felucca,5905,16,64,Felucca,True
4723,3813,0,Felucca,5906,16,64,Felucca,True
6040,192,12,Felucca,6059,88,24,Felucca,True
6040,193,12,Felucca,6059,89,24,Felucca,True
6040,194,12,Felucca,6059,90,24,Felucca,True
#
# Hythloth 2
5926,145,22,Felucca,5970,147,22,Felucca,True
5926,146,22,Felucca,5970,147,22,Felucca,True
5926,147,22,Felucca,5970,147,22,Felucca,True
5926,148,22,Felucca,5970,147,22,Felucca,True
5926,149,22,Felucca,5970,147,22,Felucca,True
5933,146,22,Felucca,5970,147,22,Felucca,True
5933,145,22,Felucca,5970,147,22,Felucca,True
5933,149,22,Felucca,5970,147,22,Felucca,True
5944,148,22,Felucca,5970,147,22,Felucca,True
5944,147,22,Felucca,5970,147,22,Felucca,True
5944,146,22,Felucca,5970,147,22,Felucca,True
5944,145,22,Felucca,5970,147,22,Felucca,True
5944,144,22,Felucca,5970,147,22,Felucca,True
5955,148,22,Felucca,5970,147,22,Felucca,True
5955,146,22,Felucca,5970,147,22,Felucca,True
5955,145,22,Felucca,5970,147,22,Felucca,True
5955,144,22,Felucca,5970,147,22,Felucca,True
5955,149,22,Felucca,5970,147,22,Felucca,True
5955,150,22,Felucca,5970,147,22,Felucca,True
5963,146,22,Felucca,5970,147,22,Felucca,True
5963,145,22,Felucca,5970,147,22,Felucca,True
5963,144,22,Felucca,5970,147,22,Felucca,True
5933,147,22,Felucca,5970,147,22,Felucca,True
5963,148,22,Felucca,5970,147,22,Felucca,True
5963,147,22,Felucca,5970,147,22,Felucca,True
6044,226,44,Felucca,6041,204,22,Felucca,True
6039,204,22,Felucca,6050,227,44,Felucca,True
6115,176,0,Felucca,6107,176,0,Felucca,True
6107,179,0,Felucca,6124,155,0,Felucca,True
#
5920,168,16,Felucca,6083,144,-20,Felucca,False
5920,169,16,Felucca,6083,145,-20,Felucca,False
5920,170,16,Felucca,6083,146,-20,Felucca,False
#
6083,144,-20,Felucca,5920,168,22,Felucca,False
6083,145,-20,Felucca,5920,169,22,Felucca,False
6083,146,-20,Felucca,5920,170,22,Felucca,False
#
5972,168,0,Felucca,5905,100,0,Felucca,False
5906,96,0,Felucca,5977,169,0,Felucca,False
#
# Covetous
2498,916,0,Felucca,5455,1864,0,Felucca,True
2499,916,0,Felucca,5456,1864,0,Felucca,True
2500,916,0,Felucca,5457,1864,0,Felucca,True
2384,836,0,Felucca,5615,1996,0,Felucca,True
2384,837,0,Felucca,5615,1997,0,Felucca,True
2384,838,0,Felucca,5615,1998,0,Felucca,True
